File,WordCount,NumPara,AvgParaSize,Nouns,Verbs,Adjectives,Adverbs,Total
1019617_PanEuropeanGameInformation.txt,527,15,35,241,61,31,22,355
1019618_MizenHead.txt,1417,6,236,980,27,26,9,1042
1019627_HowardTOdum.txt,734,9,81,321,61,40,17,439
1019647_GimmeGimmeGimme.txt,645,17,37,351,52,33,17,453
1021141_AyaMatsuura.txt,829,23,36,368,82,48,18,516
1021817_ListOfCancerClusters.txt,761,2,380,458,14,18,2,492
1022904_CharlesBridgeman.txt,681,7,97,302,72,43,12,429
1023911_Dosaaf.txt,464,11,42,171,43,37,8,259
1023955_AngelsEgg.txt,2048,46,44,654,300,164,83,1201
1023979_ElmerBatters.txt,625,12,52,220,93,50,28,391
1024055_MichaelIanBlack.txt,887,11,80,343,109,52,26,530
1024425_JoeShea.txt,1066,15,71,465,115,57,14,651
1024493_RotherhamRufc.txt,577,10,57,212,80,39,18,349
1025059_JabiruAircraft.txt,546,20,27,217,63,52,16,348
102505_ProteinDataBank.txt,1079,25,43,499,126,82,32,739
102513_VanessaLWilliams.txt,2097,37,56,1061,169,90,39,1359
1025150_Sawfilm.txt,2566,31,82,854,460,104,88,1506
102518_InducteesOfTheRockAndRollHallOfFame.txt,1575,36,43,766,158,24,25,973
102519_Dolomite.txt,1042,16,65,350,137,143,47,677
102538_DanRather.txt,5163,70,73,1858,782,305,245,3190
102539_MeikoScientific.txt,633,10,63,258,94,65,9,426
102554_Lauenburgdistrict.txt,946,26,36,325,91,81,33,530
102556_HyoJinMoon.txt,1115,17,65,415,146,81,35,677
102562_MormonTabernacleChoir.txt,682,14,48,287,82,42,11,422
102567_JohnForbesNash.txt,1675,30,55,663,205,102,55,1025
102605_RampMeter.txt,1556,25,62,582,257,110,60,1009
102607_MinneapolisstPaul.txt,5823,75,77,2249,706,502,220,3677
1026248_IslamiaCollegepeshawar.txt,920,14,65,393,103,43,24,563
1027263_TheRehearsalplay.txt,586,5,117,190,79,58,33,360
1027771_Cheetos.txt,1252,39,32,552,172,75,42,841
1027773_AldermastonCourt.txt,600,15,40,229,78,31,12,350
1028356_ZinaGarrison.txt,806,21,38,348,81,45,10,484
1028437_2mceFmBathurst.txt,1000,19,52,384,123,72,33,612
1028797_SteveTrevor.txt,1232,14,88,444,176,83,59,762
1028862_SevenSoldiersOfVictory.txt,2828,41,68,1149,379,156,97,1781
102908_SystemCall.txt,1102,21,52,388,181,89,41,699
102920_Ritual.txt,1055,31,34,419,117,118,42,696
1029403_Ikpeople.txt,778,15,51,258,126,51,34,469
1029409_NicolaeBlcescu.txt,1134,17,66,476,116,65,22,679
1029423_Megastructure.txt,750,23,32,310,99,50,31,490
1029446_ConscriptionInTheUnitedStates.txt,4427,53,83,1553,637,316,158,2664
1029456_MargaretOliphantOliphant.txt,764,10,76,269,86,35,27,417
1029527_YeShengtao.txt,3265,45,72,1345,371,209,90,2015
1029529_SarkisZeitlian.txt,608,9,67,252,76,34,11,373
102964_ScoutingInFlorida.txt,1310,49,26,775,118,58,20,971
102967_ScoutingInKansas.txt,704,46,15,428,59,29,7,523
102973_ChevyChase.txt,2857,27,105,1180,344,164,88,1776
1030497_PirateRadioInNorthAmerica.txt,2367,28,84,892,309,188,102,1491
1030541_ListOfJapanesePowCampsDuringWorldWarIi.txt,624,27,23,466,8,10,2,486
1030617_GyulaHorn.txt,686,14,49,216,98,44,23,381
1030995_VehicleExtrication.txt,1152,16,72,409,160,97,52,718
1031055_ManitobaGeneralElection1969.txt,1165,133,8,841,31,26,7,905
1031588_FleshBloodfilm.txt,1033,15,68,344,175,55,54,628
1031602_StphanieDeBeauharnais.txt,982,13,75,343,125,63,28,559
1031607_Squidgygate.txt,6720,130,51,2211,1088,405,284,3988
1031612_FillmoreEastJune1971.txt,553,11,50,264,56,24,11,355
1031662_HedKandi.txt,1927,29,66,836,184,122,63,1205
1031666_HighwayOfDeath.txt,1172,25,46,384,179,68,46,677
1032766_LittleRoundTop.txt,2655,32,82,1057,368,152,85,1662
1033237_KamiyaKaoru.txt,1047,13,80,327,157,70,67,621
